,City,Country, lat,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Barrow,US,71.2906,-16.58,69,100,5.75,1644137826
1,Bambous Virieux,MU,-20.3428,86.25,70,75,17.27,1644137887
2,Hilo,US,19.7297,69.8,95,33,3,1644137947
3,Vaini,TO,-21.2,77.27,92,100,32.03,1644138009
4,Nikolskoye,RU,59.7035,32.88,93,96,6.82,1644138129
5,Punta Arenas,CL,-53.15,48.31,81,75,8.05,1644138190
6,Sistranda,NO,63.7256,34.9,91,100,21.63,1644138250
7,Thompson,CA,55.7435,-27.36,100,96,2.66,1644138022
8,Murchison,NZ,-41.8,54.23,84,97,3.56,1644138371
9,Bilibino,RU,68.0546,-17.36,81,58,4.36,1644138431
10,Lermontovka,RU,47.1453,-1.73,99,99,1.7,1644138492
11,Paamiut,GL,61.994,-0.22,87,100,5.79,1644138552
12,New Norfolk,AU,-42.7826,63.91,50,4,3,1644138612
13,Lagoa,PT,39.05,59.34,74,0,18.01,1644138733
14,Kirakira,SB,-10.4544,81.73,85,92,8.3,1644138793
15,Banda Aceh,ID,5.5577,82.49,75,82,5.03,1644138854
16,Sandakan,MY,5.8402,82.08,83,40,10.36,1644138899
17,Yangi Marg`ilon,UZ,40.4272,47.12,25,100,13.8,1644138974
18,Qaanaaq,GL,77.484,-3.39,99,100,5.08,1644139035
19,Rikitea,PF,-23.1203,78.96,71,55,17.34,1644139095
20,Mataura,NZ,-46.1927,48.47,81,0,2.55,1644139136
21,Puerto Ayora,EC,-0.7393,73.54,94,69,3,1644139216
22,Merauke,ID,-8.4667,82.8,79,100,9.86,1644139199
23,Båtsfjord,NO,70.6345,22.93,85,99,22.19,1644139336
24,Mahon,ES,39.8885,54.16,66,20,9.22,1644139396
25,Praia da Vitória,PT,38.7333,59.25,94,75,17.31,1644139457
26,Mossamedes,AO,-15.1961,75.83,73,40,17.27,1644139517
27,Sabha,LY,27.0377,60.76,27,10,9.95,1644139578
28,Anchorage,US,61.2181,27.86,92,100,1.99,1644139501
29,George Town,MY,5.4112,87.89,72,20,1.01,1644139758
30,Ekhabi,RU,53.5102,-0.98,95,100,19.89,1644139819
31,Port Alfred,ZA,-33.5906,80.71,67,14,27.76,1644139879
32,Bouna,CI,9.2667,87.75,9,6,8.21,1644139939
33,Lebu,CL,-37.6167,56.52,89,2,13.53,1644140000
34,Asău,RO,46.4333,44.96,45,36,13.67,1644140060
35,Saint Paul Harbor,US,57.79,36.91,87,100,14.97,1644140121
36,Cherskiy,RU,68.75,-29.51,100,17,2.53,1644140181
37,Albany,US,42.6001,6.28,78,8,1.81,1644140242
38,Geraldton,AU,-28.7667,77.41,65,75,19.57,1644140302
39,Mar del Plata,AR,-38.0023,59.09,95,100,1.99,1644140362
40,Nuuk,GL,64.1835,7.41,72,75,14.97,1644140423
41,Nyanguge,TZ,-2.55,76.71,55,70,4.9,1644140543
42,Smithers,CA,54.7804,30.52,80,75,3.44,1644140664
43,Bredasdorp,ZA,-34.5322,88.29,51,79,2.3,1644140724
44,Verkhoyansk,RU,67.5447,-41.26,100,95,0.72,1644140785
45,Kaitangata,NZ,-46.2817,45.36,78,0,2.62,1644140845
46,Jumla,NP,29.2747,51.51,39,0,5.35,1644140905
47,Yellowknife,CA,62.456,-16.71,76,0,8.05,1644140966
48,Ciudad del Carmen,MX,18.6333,70.09,88,100,10.94,1644140922
49,Boa Vista,BR,2.8197,76.98,78,75,8.05,1644141086
50,Hirado,JP,33.3597,39.38,55,100,15.32,1644141147
51,Bethel,US,41.3712,16.56,75,0,3.91,1644141207
52,Haines Junction,CA,60.7522,24.75,93,100,0,1644141267
53,Comodoro Rivadavia,AR,-45.8667,69.66,40,0,9.22,1644141328
54,Loandjili,CG,-4.7561,84.31,70,40,9.22,1644141388
55,Muroto-misakicho,JP,33.2833,39.24,51,48,21.09,1644141449
56,Hobart,AU,-42.8794,62.06,71,20,9.22,1644141509
57,Upernavik,GL,72.7868,-7.65,96,100,4.41,1644141630
58,Longyearbyen,SJ,78.2186,17.44,73,75,10.36,1644141690
59,Touros,BR,-5.1989,77.9,64,79,9.44,1644141750
60,Surin,TH,14.8818,89.91,44,17,0.81,1644141811
61,Katsuura,JP,35.1333,41.14,42,38,15.52,1644141931
62,Ushuaia,AR,-54.8,42.46,87,0,9.22,1644141989
63,Marfino,RU,55.7028,19.17,86,100,4.47,1644142112
64,Busselton,AU,-33.65,58.08,86,100,17.29,1644142172
65,Chui,UY,-33.6971,63.41,90,83,9.53,1644142233
66,Saint-François,FR,46.4154,44.42,81,100,9.22,1644142293
67,Wuda,CN,39.4994,26.47,23,100,6.76,1644142354
68,Manokwari,ID,-0.8667,79.32,81,94,4.47,1644142414
69,Coahuayana Viejo,MX,18.7333,65.97,78,14,4.7,1644142474
70,Atuona,PF,-9.8,78.75,77,4,21.3,1644142350
71,Saskylakh,RU,71.9167,-29.6,100,94,1.43,1644142655
72,Caluquembe,AO,-13.7833,72.25,44,100,5.1,1644142715
73,Voznesenskaya,RU,44.5527,34.59,96,100,5.82,1644142752
74,Cabangahan,PH,9.0781,81.1,75,95,14.05,1644142896
