,City,Country,lat,lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Qaanaaq,GL,77.484,-69.3632,-8.36,95,100,6.8,1644330335
1,Srednekolymsk,RU,67.45,153.6833,-42.48,99,67,5.14,1644330336
2,Mumford,GH,5.2618,-0.759,83.8,71,97,13.85,1644330336
3,Atuona,PF,-9.8,-139.0333,77.77,76,6,17.43,1644330310
4,Khatanga,RU,71.9667,102.5,0.9,82,100,17.76,1644330298
5,George Town,MY,5.4112,100.3354,78.89,89,20,0.0,1644329651
6,Longyearbyen,SJ,78.2186,15.6401,19.24,73,75,16.11,1644330062
7,Albany,US,42.6001,-73.9662,35.74,83,87,3.0,1644330086
8,Kruisfontein,ZA,-34.0033,24.7314,73.89,44,2,12.26,1644330337
9,Coquimbo,CL,-29.9533,-71.3436,64.13,82,100,5.75,1644330119
10,Kapaa,US,22.0752,-159.319,73.38,81,0,14.97,1644330337
11,Malbork,PL,54.0359,19.0266,43.12,88,100,18.92,1644330338
12,Tiznit Province,MA,29.5833,-9.5,75.72,16,100,18.19,1644330338
13,Buraidah,SA,26.326,43.975,70.25,23,0,3.56,1644330339
14,Cape Town,ZA,-33.9258,18.4232,82.27,49,0,14.97,1644330095
15,Coolum Beach,AU,-26.5333,153.1,70.11,82,0,7.34,1644330339
16,Chinsali,ZM,-10.5414,32.0816,74.19,73,96,2.48,1644330339
17,Zhigansk,RU,66.7697,123.3711,-31.9,99,96,7.99,1644330340
18,Seoul,KR,37.5683,126.9778,27.84,75,0,2.3,1644330285
19,Santa Maria,BR,-29.6842,-53.8069,74.5,57,40,4.61,1644330340
20,Almaty,KZ,43.25,76.95,30.11,86,100,8.95,1644330340
21,Dikson,RU,73.5069,80.5464,4.95,92,100,22.5,1644330341
22,Tomatlán,MX,19.9333,-105.25,62.46,67,0,2.89,1644330341
23,Rikitea,PF,-23.1203,-134.9692,77.76,76,88,11.81,1644330342
24,Rio Grande,BR,-32.035,-52.0986,75.94,54,89,11.56,1644330342
25,Barcelona,ES,41.3888,2.159,67.8,75,20,10.36,1644330269
26,Vardø,NO,70.3705,31.1107,28.6,83,64,19.3,1644330342
27,Crofton,US,39.0018,-76.6875,39.72,81,0,6.91,1644330307
28,Ribeira Grande,PT,38.5167,-28.7,63.0,72,20,10.36,1644330343
29,Punta Arenas,CL,-53.15,-70.9167,51.91,62,40,25.32,1644330343
30,Busselton,AU,-33.65,115.3333,63.09,87,5,8.95,1644330343
31,East London,ZA,-33.0153,27.9116,85.14,70,0,12.66,1644330344
32,Lagoa Formosa,BR,-18.7786,-46.4075,67.3,96,100,4.12,1644330344
33,Ushuaia,AR,-54.8,-68.3,49.62,81,75,23.02,1644330345
34,Puerto Ayora,EC,-0.7393,-90.3518,76.96,77,19,5.17,1644330345
35,Tuktoyaktuk,CA,69.4541,-133.0374,-43.6,66,0,5.75,1644330345
36,Hasaki,JP,35.7333,140.8333,37.8,72,100,15.46,1644330346
37,Anadyr,RU,64.75,177.4833,-28.7,75,20,13.42,1644330346
38,Upernavik,GL,72.7868,-56.1549,-16.33,82,100,3.47,1644330347
